customer_zip_code_prefix,customer_city,customer_state,latitude,longitude,customer_count,total_orders,total_product_revenue,total_freight,total_order_value,avg_order_value
1003,sao paulo,SP,-23.548993588235295,-46.63573135294118,1,17,1529.83,152.66,1682.49,98.97
1004,sao paulo,SP,-23.549798818181817,-46.63475704545455,2,44,3937.78,420.64,4358.42,99.055
1005,sao paulo,SP,-23.54945596,-46.636733,5,200,19109.75,2600.25,21710.0,108.55
1006,sao paulo,SP,-23.550101666666666,-46.63613677777778,2,18,7513.2,299.25,7812.45,434.025
1007,sao paulo,SP,-23.550046384615385,-46.6372515,4,104,11842.48,1301.82,13144.3,126.3875
1008,sao paulo,SP,-23.5460016875,-46.635885875,4,64,7910.08,777.6,8687.68,135.745
1009,sao paulo,SP,-23.54683529268293,-46.63649087804878,6,369,71191.58,6572.71,77764.29,210.74333333333334
1011,sao paulo,SP,-23.546908428571427,-46.635582142857146,4,147,8643.6,1913.94,10557.54,71.82
1012,sao paulo,SP,-23.547789647058824,-46.63485905882353,2,34,10963.3,377.57,11340.87,333.555
1013,sao paulo,SP,-23.5471419,-46.63423605,3,60,5417.8,501.8,5919.6,98.66
1014,sao paulo,SP,-23.545912796296296,-46.63361524074074,4,216,13017.78,2277.72,15295.5,70.8125
1015,sao paulo,SP,-23.5476656,-46.6315588,2,20,977.9,216.0,1193.9,59.695
1016,sao paulo,SP,-23.548976333333332,-46.632352,1,12,2760.0,331.92,3091.92,257.66
1017,sao paulo,SP,-23.549531146341465,-46.631023731707316,3,123,15614.03,2530.93,18144.96,147.52
1019,sao paulo,SP,-23.5517742,-46.6308932,1,25,472.5,312.0,784.5,31.38
1020,sao paulo,SP,-23.552335409090908,-46.630049863636366,6,396,167669.7,18619.92,186289.62,470.42833333333334
1021,sao paulo,SP,-23.54300052173913,-46.632143391304346,2,46,5356.7,737.61,6094.31,132.485
1022,sao paulo,SP,-23.544922,-46.631931411764704,1,17,2941.0,254.32,3195.32,187.96
1023,sao paulo,SP,-23.5423308,-46.63137345,1,20,2978.0,166.0,3144.0,157.2
1024,sao paulo,SP,-23.541401714285715,-46.62990385714286,2,14,1420.3,325.71,1746.01,124.715
1025,sao paulo,SP,-23.540292,-46.63092793333333,1,15,24816.6,273.45,25090.05,1672.67
1026,sao paulo,SP,-23.539657102564103,-46.6318842051282,4,156,15158.91,2194.92,17353.83,111.2425
1027,sao paulo,SP,-23.538082285714285,-46.63066871428571,3,84,22340.92,1147.72,23488.64,279.62666666666667
1030,sao paulo,SP,-23.539549136363636,-46.63302322727273,3,66,4333.34,773.74,5107.08,77.38
1031,sao paulo,SP,-23.54190593548387,-46.635087451612904,4,124,15028.8,2201.62,17230.42,138.955
1032,sao paulo,SP,-23.540124444444444,-46.635193666666666,2,90,12825.9,2621.7,15447.6,171.64
1033,sao paulo,SP,-23.539271361702127,-46.635878042553195,6,282,99437.9,6236.43,105674.33,374.7316666666667
1035,sao paulo,SP,-23.54161458974359,-46.64154933333333,6,351,35731.41,5016.18,40747.59,116.09
1036,sao paulo,SP,-23.54164844736842,-46.641443131578946,3,114,17518.0,2163.72,19681.72,172.64666666666668
1037,sao paulo,SP,-23.545411,-46.63892426923077,3,78,23236.2,2257.58,25493.78,326.8433333333333
1038,sao paulo,SP,-23.543907333333333,-46.639993777777775,2,18,1646.91,270.72,1917.63,106.535
1041,sao paulo,SP,-23.54390472,-46.64004648,2,50,11647.5,2130.0,13777.5,275.55
1042,sao paulo,SP,-23.54485305,-46.64041045,5,240,36297.2,4276.0,40573.2,169.055
1043,sao paulo,SP,-23.545766153846152,-46.641502384615386,1,13,247.0,161.59,408.59,31.43
1044,sao paulo,SP,-23.545598055555555,-46.64145277777778,3,54,3040.02,496.44,3536.46,65.49
1045,sao paulo,SP,-23.54234536111111,-46.642527083333334,1,36,7560.0,601.2,8161.2,226.7
1046,sao paulo,SP,-23.54593004255319,-46.643997404255316,17,2820,302742.51,31247.01,333989.52,118.436
1047,sao paulo,SP,-23.54618757142857,-46.64106735714286,6,252,31687.74,5105.94,36793.68,146.00666666666666
1048,sao paulo,SP,-23.547113181818183,-46.63983984090909,7,308,50372.96,6477.68,56850.64,184.58
1049,sao paulo,SP,-23.547011238095237,-46.63916585714286,2,42,6295.8,552.72,6848.52,163.06
1050,sao paulo,SP,-23.54922924509804,-46.64303012745098,7,714,60627.78,7748.94,68376.72,95.76571428571428
11010,santos,SP,-23.933572559633028,-46.32962523853211,8,872,105779.05,16918.98,122698.03,140.70875
11013,santos,SP,-23.9377016,-46.325997364705884,17,2890,376378.3,61980.3,438358.6,151.68117647058824
11015,santos,SP,-23.95315336904762,-46.31920773809524,42,15120,2235458.4,283963.68,2519422.08,166.62844444444445
1102,sao paulo,SP,-23.525571370370372,-46.63028744444444,1,27,999.0,348.84,1347.84,49.92
11020,santos,SP,-23.968456173469388,-46.30547009183673,22,2450,426672.4,62583.78,489256.18,199.6964
11025,santos,SP,-23.97049318658892,-46.308195279883385,47,16121,1535062.2,258364.75,1793426.95,111.24787234042553
1103,sao paulo,SP,-23.535468375,-46.6302907,6,240,22703.6,2811.2,25514.8,106.31166666666667
11030,santos,SP,-23.984858282157678,-46.30206993360996,78,41934,6035902.84,860196.48,6896099.32,164.4512643678161
11035,santos,SP,-23.980419732673266,-46.304481316831684,37,7474,1428006.68,129431.5,1557438.18,208.3808108108108
11040,santos,SP,-23.972315587301587,-46.314413933333334,41,13230,1575756.0,217085.4,1792841.4,135.51333333333332
11045,santos,SP,-23.969746211180123,-46.32193885093168,49,27531,4989930.96,589965.18,5579896.14,202.67684210526315
1105,sao paulo,SP,-23.534094,-46.62907773333333,2,30,4661.55,909.45,5571.0,185.7
11050,santos,SP,-23.957512600938966,-46.326799990610326,20,4899,398863.8,83449.14,482312.94,98.45130434782608
11055,santos,SP,-23.96573384532374,-46.328721744604316,41,12232,1910288.12,246405.3,2156693.42,176.31568181818182
1106,sao paulo,SP,-23.530220727272727,-46.628221227272725,2,44,2286.9,520.52,2807.42,63.805
11060,santos,SP,-23.962573866666666,-46.334098698412696,40,12915,2753207.1,229559.4,2982766.5,230.95365853658538
11065,santos,SP,-23.96522728810021,-46.343581306889355,70,59396,6380270.42,924139.49,7304409.91,122.97814516129033
1107,sao paulo,SP,-23.526087842105262,-46.62958989473684,3,57,14835.2,663.67,15498.87,271.91
11070,santos,SP,-23.956747628895183,-46.34527196033994,50,19768,3016328.52,400231.4,3416559.92,172.83285714285714
11075,santos,SP,-23.954600493857495,-46.33773117444717,69,28083,2830278.0,470292.57,3300570.57,117.52913043478262
1108,sao paulo,SP,-23.52723225,-46.63035425,1,4,119.6,31.12,150.72,37.68
11080,santos,SP,-23.944443193548388,-46.35173461290323,4,124,5015.49,1370.51,6386.0,51.5
11081,santos,SP,-23.934745777777778,-46.342974777777776,2,18,854.46,210.96,1065.42,59.19
11082,santos,SP,-23.938905846153848,-46.339655923076926,1,13,1104.87,122.33,1227.2,94.4
11085,santos,SP,-23.9378287983871,-46.35659160483871,15,1860,215881.52,24404.44,240285.96,129.186
11086,santos,SP,-23.9451812,-46.37439575,6,240,37710.8,3532.0,41242.8,171.845
11088,santos,SP,-23.940910731707316,-46.3849353902439,8,328,28875.07,4291.47,33166.54,101.1175
11089,santos,SP,-23.940192886792452,-46.369430433962265,6,318,37522.41,4605.7,42128.11,132.47833333333332
11090,santos,SP,-23.937200088235294,-46.37635252941176,4,238,9632.2,2342.94,11975.14,50.315714285714286
11095,santos,SP,-23.927265727272726,-46.37847490909091,10,330,79507.56,5316.3,84823.86,257.042
1120,sao paulo,SP,-23.53016240909091,-46.63951147727273,3,132,17155.6,2730.2,19885.8,150.65
1121,sao paulo,SP,-23.52786665116279,-46.63525695348837,4,172,19511.68,3102.88,22614.56,131.48
1122,sao paulo,SP,-23.53113056,-46.63832474666667,6,675,136564.5,14392.5,150957.0,223.64
1123,sao paulo,SP,-23.529164603773584,-46.63658232075472,6,318,19305.78,3700.99,23006.77,72.34833333333333
1124,sao paulo,SP,-23.528221153846154,-46.63309525641026,1,39,5848.05,616.2,6464.25,165.75
1125,sao paulo,SP,-23.527288371428572,-46.64016431428571,2,175,17117.45,1967.0,19084.45,109.054
11250,bertioga,SP,-23.818390401993355,-46.08062370598007,46,31304,6086364.48,703214.26,6789578.74,216.89173076923078
1127,sao paulo,SP,-23.5254808,-46.641595575,3,120,5717.2,1198.4,6915.6,57.63
1129,sao paulo,SP,-23.524051525,-46.645073025,4,280,14139.6,4543.6,18683.2,66.72571428571429
1131,sao paulo,SP,-23.522379758064517,-46.64310780645161,8,496,52708.06,7924.84,60632.9,122.24375
11310,sao vicente,SP,-23.967496146031745,-46.38645460952381,31,11340,1021069.35,153023.85,1174093.2,103.53555555555556
1132,sao paulo,SP,-23.521539785714285,-46.648739404761905,3,126,16794.96,5493.18,22288.14,176.89
11320,sao vicente,SP,-23.97008652815534,-46.3725888407767,38,21115,2548456.9,287370.0,2835826.9,134.3039024390244
11325,sao vicente,SP,-23.98647858490566,-46.391656264150946,5,265,50013.98,5458.47,55472.45,209.33
11330,sao vicente,SP,-23.96797905357143,-46.402461464285714,4,224,25562.88,2591.68,28154.56,125.69
11335,sao vicente,SP,-23.9653649,-46.4120574,4,120,12419.1,1522.5,13941.6,116.18
1134,sao paulo,SP,-23.518900085714286,-46.65269037142857,3,105,2325.05,859.95,3185.0,30.333333333333332
11340,sao vicente,SP,-23.957720292682925,-46.407175451219516,8,656,64267.5,8980.64,73248.14,111.65875
11345,sao vicente,SP,-23.988077,-46.47919473333334,3,90,13497.0,1155.0,14652.0,162.8
11346,sao vicente,SP,-23.983340320754717,-46.48798771698113,5,265,21660.57,3357.02,25017.59,94.406
11347,sao vicente,SP,-23.9816048125,-46.465645583333334,7,336,86388.96,7982.88,94371.84,280.86857142857144
11348,sao vicente,SP,-23.955386703703702,-46.45574974074074,2,81,4216.59,930.42,5147.01,63.54333333333334
1135,sao paulo,SP,-23.526190247058825,-46.65097002352941,7,595,33784.95,7359.3,41144.25,69.15
11350,sao vicente,SP,-23.94463227586207,-46.41501834482759,6,348,62728.16,9600.16,72328.32,207.84
11355,sao vicente,SP,-23.95177,-46.408140025,10,800,47733.6,18471.2,66204.8,82.756
1136,sao paulo,SP,-23.52398697368421,-46.6613512631579,1,38,1136.2,302.1,1438.3,37.85
11360,sao vicente,SP,-23.947144047619048,-46.39761176190476,4,252,31618.44,2901.78,34520.22,136.985
11365,sao vicente,SP,-23.95449158695652,-46.395122826086954,4,184,16337.82,4719.6,21057.42,114.4425
1137,sao paulo,SP,-23.522851566666667,-46.6528091,4,120,5313.0,1410.6,6723.6,56.03
11370,sao vicente,SP,-23.955980377952756,-46.38161454330709,8,1016,207807.56,17134.84,224942.4,221.4
1138,sao paulo,SP,-23.522455826086958,-46.655254086956525,5,230,50084.34,3223.68,53308.02,231.774
11380,sao vicente,SP,-23.959894848275862,-46.37279449655173,12,1740,259494.9,29529.25,289024.15,166.10583333333332
1139,sao paulo,SP,-23.520724884615383,-46.66593889423077,6,624,71942.0,10257.52,82199.52,131.73
11390,sao vicente,SP,-23.961942771929824,-46.382116359649125,10,1140,239010.12,21864.06,260874.18,228.837
1140,sao paulo,SP,-23.52043852272727,-46.66923715909091,6,264,46203.52,5154.16,51357.68,194.53666666666666
1141,sao paulo,SP,-23.52031034375,-46.66643913541667,5,480,104995.2,6990.72,111985.92,233.304
11410,guaruja,SP,-23.995219163141993,-46.25972352265861,22,8275,825186.31,145467.88,970654.19,117.2996
11420,guaruja,SP,-24.00810168992248,-46.27200204651163,23,9288,936416.16,187537.62,1123953.78,121.01138888888889
11421,guaruja,SP,-24.013551452380952,-46.282573666666664,2,294,36610.56,4497.36,41107.92,139.82285714285715
11425,guaruja,SP,-23.997567,-46.30320476666667,3,180,11393.7,1850.7,13244.4,73.58
11430,guaruja,SP,-23.99394357272727,-46.28488819090909,8,880,150823.2,13280.3,164103.5,186.48125
11431,guaruja,SP,-23.995826187096775,-46.27873913548387,9,1860,315704.0,31841.65,347545.65,186.8525
11432,guaruja,SP,-23.987614029239765,-46.27036605263158,18,3078,279976.59,38062.89,318039.48,103.32666666666667
11435,guaruja,SP,-23.976855457142857,-46.259849714285714,2,70,5144.65,705.95,5850.6,83.58
11436,guaruja,SP,-23.97120838,-46.2515242,5,250,31869.5,3628.0,35497.5,141.99
1144,sao paulo,SP,-23.523572962962962,-46.67242462962963,2,54,16631.73,751.14,17382.87,321.905
11440,guaruja,SP,-23.983786856666665,-46.24074688,19,5700,779619.0,130581.0,910200.0,159.68421052631578
11441,guaruja,SP,-23.979155976470587,-46.2282652,9,765,99184.8,11863.45,111048.25,145.1611111111111
11442,guaruja,SP,-23.976117871794873,-46.220038512820516,9,702,57795.66,8855.34,66651.0,94.94444444444444
11443,guaruja,SP,-23.979090572580645,-46.20543839516129,14,1736,286081.64,26636.44,312718.08,180.13714285714286
11444,guaruja,SP,-23.96991858490566,-46.18909839622641,5,371,33696.34,5163.79,38860.13,104.74428571428571
