customer_state,customer_city,total_orders,total_customers,total_product_revenue,total_freight,total_order_value,avg_order_value
SP,sao paulo,15402,14865,1914924.54,255302.58,2170227.12,140.90553954031944
RJ,rio de janeiro,6834,6576,992538.86,161695.16,1154234.02,168.89581796897863
MG,belo horizonte,2750,2654,355611.13,61122.26,416733.39,151.53941454545455
DF,brasilia,2116,2056,301920.25,50384.89,352305.14,166.49581285444233
PR,curitiba,1510,1455,211738.06,33001.81,244739.87,162.07938410596026
RS,porto alegre,1372,1320,190562.08,33502.01,224064.09,163.3120189504373
BA,salvador,1238,1202,181104.42,35667.98,216772.4,175.0988691437803
SP,campinas,1429,1386,187844.53,24697.17,212541.7,148.73456962911126
SP,guarulhos,1178,1143,144268.39,19307.43,163575.82,138.85893039049236
RJ,niteroi,845,807,117907.12,20012.26,137919.38,163.21820118343194
GO,goiania,687,667,106111.17,17949.36,124060.53,180.5830131004367
SP,sao bernardo do campo,928,898,104540.99,14483.86,119024.85,128.25953663793103
CE,fortaleza,650,640,97868.06,20778.01,118646.07,182.53241538461538
SP,santos,706,686,98777.09,12893.12,111670.21,158.17310198300282
PE,recife,612,589,89803.01,20220.51,110023.52,179.77699346405228
SP,santo andre,792,765,92028.6,12602.02,104630.62,132.1093686868687
SC,florianopolis,565,543,85925.99,13999.38,99925.37,176.85906194690264
PA,belem,441,430,80078.49,15543.63,95622.12,216.83020408163264
SP,osasco,742,713,82157.86,11842.86,94000.72,126.68560646900269
SP,jundiai,560,543,81310.3,10096.47,91406.77,163.226375
SP,sao jose dos campos,686,661,78650.94,11336.37,89987.31,131.17683673469386
SP,sorocaba,624,602,76551.76,10597.08,87148.84,139.66160256410257
MG,juiz de fora,426,414,65140.77,10454.3,75595.07,177.4532159624413
SP,ribeirao preto,508,487,65637.01,9771.29,75408.3,148.44153543307087
RJ,nova iguacu,439,429,60234.09,10589.66,70823.75,161.32972665148063
MS,campo grande,315,310,57121.67,8363.58,65485.25,207.88968253968255
MA,sao luis,348,336,51026.91,12384.88,63411.79,182.21778735632185
PB,joao pessoa,254,240,53164.81,9906.1,63070.91,248.31066929133857
ES,vitoria,377,364,53160.79,9517.54,62678.33,166.25551724137932
RJ,sao goncalo,406,396,52514.84,9092.69,61607.53,151.74268472906405
PI,teresina,280,270,49967.43,10536.92,60504.35,216.0869642857143
SP,piracicaba,366,358,52307.98,6632.99,58940.97,161.04090163934427
SP,barueri,429,415,51328.35,7263.29,58591.64,136.57724941724942
SP,mogi das cruzes,379,367,52007.78,6546.88,58554.66,154.49778364116094
MG,contagem,423,414,49542.22,8851.62,58393.84,138.04690307328605
MG,uberlandia,372,365,48551.97,8234.12,56786.09,152.65077956989248
ES,vila velha,333,324,48285.18,7897.46,56182.64,168.71663663663665
SP,sao jose do rio preto,333,328,47070.55,6681.57,53752.12,161.4177777777778
PR,londrina,303,295,46465.26,6639.75,53105.01,175.2640594059406
AL,maceio,246,242,44702.48,8375.6,53078.08,215.76455284552844
SP,maua,319,310,43639.96,4786.16,48426.12,151.80601880877742
MT,cuiaba,248,242,39171.17,7933.51,47104.68,189.9382258064516
PR,maringa,267,258,37862.29,7123.51,44985.8,168.48614232209738
SP,bauru,270,264,39462.26,5501.08,44963.34,166.53088888888888
SE,aracaju,220,216,36507.8,8091.0,44598.8,202.72181818181818
RS,caxias do sul,224,213,38480.07,5841.29,44321.36,197.8632142857143
SP,praia grande,306,287,39158.38,5102.77,44261.15,144.64428104575163
ES,serra,285,278,36357.33,6608.44,42965.77,150.75708771929826
RN,natal,205,201,35929.37,6921.63,42851.0,209.02926829268293
SP,indaiatuba,278,267,37334.1,4500.41,41834.51,150.48384892086332
SC,joinville,263,260,34772.57,6199.5,40972.07,155.78733840304182
SP,taboao da serra,290,279,35733.3,4666.8,40400.1,139.3106896551724
RJ,campos dos goytacazes,238,235,34660.36,5528.79,40189.15,168.86197478991596
RJ,duque de caxias,263,260,34029.68,5878.37,39908.05,151.7416349809886
RJ,petropolis,238,220,33230.1,6348.83,39578.93,166.29802521008403
MG,divinopolis,135,134,35301.77,3490.47,38792.24,287.3499259259259
RJ,volta redonda,228,222,33354.0,5291.95,38645.95,169.4997807017544
RJ,macae,237,230,31337.8,6269.45,37607.25,158.68037974683546
SP,marilia,196,195,33904.28,3589.69,37493.97,191.29576530612246
SP,carapicuiba,325,317,32235.88,5031.1,37266.98,114.66763076923077
RS,santa maria,194,188,31765.81,5458.84,37224.65,191.87963917525772
SP,sao caetano do sul,275,265,32452.6,4300.74,36753.34,133.6485090909091
SP,cotia,248,242,31082.38,4184.8,35267.18,142.20637096774195
SP,taubate,267,264,29724.56,5018.35,34742.91,130.1232584269663
MG,betim,201,199,29992.31,4357.61,34349.92,170.89512437810944
SP,sao carlos,233,223,29743.95,4449.12,34193.07,146.75137339055794
SP,diadema,284,272,29393.24,4600.12,33993.36,119.69492957746479
SP,guaruja,224,213,29773.76,3914.05,33687.81,150.39200892857144
MG,uberaba,189,180,28688.24,4649.51,33337.75,176.39021164021165
BA,feira de santana,185,176,27652.19,4814.61,32466.8,175.49621621621623
RS,canoas,209,201,26785.25,5197.58,31982.83,153.02789473684211
RJ,nova friburgo,150,143,28024.89,3560.19,31585.08,210.5672
MG,montes claros,211,206,26690.89,4796.5,31487.39,149.229336492891
SP,presidente prudente,160,158,26196.13,3716.16,29912.29,186.9518125
SC,blumenau,187,182,24755.36,4487.56,29242.92,156.3792513368984
SP,suzano,233,221,25334.87,3733.87,29068.74,124.75854077253219
SP,americana,221,217,24926.37,3753.36,28679.73,129.77253393665157
PR,cascavel,148,146,23695.62,3953.99,27649.61,186.8216891891892
RS,pelotas,184,179,22387.13,4969.46,27356.59,148.6771195652174
SP,limeira,189,180,23083.89,3290.28,26374.17,139.545873015873
SP,santana de parnaiba,182,176,23294.05,2962.04,26256.09,144.26423076923078
MG,ipatinga,171,168,21957.22,4219.56,26176.78,153.08058479532164
RO,porto velho,109,101,21938.53,4183.39,26121.92,239.65064220183487
SP,franca,159,158,22443.73,3361.59,25805.32,162.29761006289309
AM,manaus,139,134,20652.56,5140.5,25793.06,185.56158273381294
PE,jaboatao dos guararapes,135,134,21405.16,4267.7,25672.86,190.16933333333333
SP,valinhos,183,178,22546.55,3114.07,25660.62,140.22196721311477
SP,sumare,181,176,21487.92,3130.86,24618.78,136.0153591160221
SC,sao jose,168,165,20350.46,3996.97,24347.43,144.92517857142857
MG,pouso alegre,131,124,21372.21,2823.2,24195.41,184.69778625954197
RJ,rio das ostras,136,134,20268.71,3559.11,23827.82,175.20455882352942
SP,atibaia,157,152,20913.21,2873.2,23786.41,151.50579617834396
SP,sao vicente,163,161,21107.09,2636.31,23743.4,145.66503067484663
MG,nova lima,98,95,20962.05,2325.79,23287.84,237.63102040816327
SP,embu das artes,164,161,20727.72,2518.92,23246.64,141.74780487804878
SP,araraquara,154,149,20352.07,2849.68,23201.75,150.66071428571428
MG,governador valadares,139,138,19659.05,3525.56,23184.61,166.79575539568344
SP,rio claro,152,147,20124.58,3022.99,23147.57,152.2866447368421
RJ,barra mansa,121,119,20086.96,2955.84,23042.8,190.43636363636364
RS,novo hamburgo,122,119,19847.08,3085.24,22932.32,187.96983606557376
PB,campina grande,68,68,17500.53,5282.76,22783.29,335.0483823529412
SP,braganca paulista,144,140,20127.62,2555.61,22683.23,157.52243055555556
PR,ponta grossa,142,134,18923.38,3228.9,22152.28,156.00197183098592
SC,itajai,120,118,19348.57,2778.4,22126.97,184.39141666666666
RJ,sao joao de meriti,132,128,18796.24,3204.87,22001.11,166.67507575757577
SP,itaquaquecetuba,171,166,19365.24,2564.09,21929.33,128.24169590643274
