product_category,total_items_sold,total_orders,product_revenue,freight_revenue,total_revenue,avg_item_price
beleza_saude,9670,8836,1258681.34,182566.73,1441248.07,130.16353050672183
relogios_presentes,5991,5624,1205005.68,100535.93,1305541.61,201.13598397596394
cama_mesa_banho,11115,9417,1036988.68,204693.04,1241681.72,93.29632748538012
esporte_lazer,8641,7720,988048.97,168607.51,1156656.48,114.34428538363615
informatica_acessorios,7827,6689,911954.32,147318.08,1059272.4,116.51390315574294
moveis_decoracao,8334,6449,729762.49,172749.3,902511.79,87.56449364050876
utilidades_domesticas,6964,5884,632248.66,146149.11,778397.77,90.78814761631246
cool_stuff,3796,3632,635290.85,84039.1,719329.95,167.357968914647
automotivo,4235,3897,592720.11,92664.21,685384.32,139.95752302243213
ferramentas_jardim,4347,3518,485256.46,98962.75,584219.21,111.63019553715206
brinquedos,4117,3886,483946.6,77425.95,561372.55,117.54836045664318
bebes,3065,2885,411764.89,68353.11,480118.0,134.34417292006526
perfumaria,3419,3162,399124.87,54213.84,453338.71,116.73731207955542
telefonia,4545,4199,323667.53,71215.79,394883.32,71.21397799779977
moveis_escritorio,1691,1273,273960.7,68571.95,342532.65,162.0110585452395
papelaria,2517,2311,230943.23,46798.48,277741.71,91.75336909018672
pet_shop,1947,1710,214315.41,39561.24,253876.65,110.0746841294299
pcs,203,181,222963.13,9836.3,232799.43,1098.3405418719212
instrumentos_musicais,680,628,191498.88,18638.49,210137.37,281.616
,1603,1451,179535.28,28169.81,207705.09,111.99955084217093
eletronicos,2767,2550,160246.74,46578.32,206825.06,57.913530899891576
eletroportateis,679,630,190648.58,16020.25,206668.83,280.7784683357879
fashion_bolsas_e_acessorios,2031,1864,152823.54,31450.0,184273.54,75.24546528803545
consoles_games,1137,1062,157465.22,19828.02,177293.24,138.49183817062445
malas_acessorios,1092,1034,140429.98,30445.23,170875.21,128.59888278388277
construcao_ferramentas_construcao,929,748,144677.59,20650.41,165328.0,155.7347578040904
eletrodomesticos_2,238,234,113317.74,10600.18,123917.92,476.12495798319327
casa_construcao,604,490,83088.12,13832.24,96920.36,137.56311258278146
eletrodomesticos,771,764,80171.53,14818.9,94990.43,103.98382619974059
moveis_sala,503,422,68916.56,17968.17,86884.73,137.0110536779324
agro_industria_e_comercio,212,182,72530.47,5843.6,78374.07,342.12485849056606
casa_conforto,434,397,58572.04,8501.23,67073.27,134.95861751152074
telefonia_fixa,264,217,59583.0,4637.81,64220.81,225.6931818181818
climatizacao,297,253,55024.96,6749.23,61774.19,185.26922558922558
moveis_cozinha_area_de_servico_jantar_e_jardim,281,248,46328.37,11999.43,58327.8,164.8696441281139
audio,364,350,50688.5,5710.44,56398.94,139.25412087912088
livros_interesse_geral,553,512,46856.88,9195.52,56052.4,84.73215189873417
portateis_casa_forno_e_cafe,76,75,47445.71,2747.86,50193.57,624.2856578947368
construcao_ferramentas_iluminacao,304,244,41080.0,7583.8,48663.8,135.1315789473684
industria_comercio_e_negocios,268,235,39669.61,7884.68,47554.29,148.0209328358209
construcao_ferramentas_seguranca,194,167,40544.52,3919.1,44463.62,208.99237113402063
alimentos,510,450,29393.41,7271.03,36664.44,57.63413725490196
market_place,311,280,28378.47,5456.06,33834.53,91.24909967845659
construcao_ferramentas_jardim,238,194,25715.89,5311.4,31027.29,108.04995798319328
fashion_calcados,262,240,23562.77,4918.87,28481.64,89.93423664122137
artes,209,202,24202.64,4045.17,28247.81,115.8021052631579
bebidas,379,297,22428.7,5741.25,28169.95,59.17862796833773
sinalizacao_e_seguranca,199,140,21509.23,6507.82,28017.05,108.08658291457286
moveis_quarto,109,95,20028.78,4632.23,24661.01,183.7502752293578
livros_tecnicos,267,260,19096.06,4283.06,23379.12,71.52082397003745
alimentos_bebidas,278,227,15179.48,4507.99,19687.47,54.602446043165465
construcao_ferramentas_ferramentas,103,97,15903.95,2030.22,17934.17,154.40728155339806
fashion_roupa_masculina,132,112,10797.82,2152.41,12950.23,81.80166666666666
artigos_de_natal,153,128,8800.82,3229.3,12030.12,57.52169934640523
fashion_underwear_e_moda_praia,131,121,9541.55,1916.19,11457.74,72.83625954198473
tablets_impressao_imagem,83,79,7528.41,1226.2,8754.61,90.70373493975903
cine_foto,72,65,6933.46,1256.2,8189.66,96.29805555555555
dvds_blu_ray,64,59,5999.39,1288.74,7288.13,93.74046875
musica,38,38,6034.35,690.51,6724.86,158.79868421052632
moveis_colchao_e_estofado,38,38,4368.08,1630.46,5998.54,114.94947368421053
livros_importados,60,53,4639.85,769.85,5409.7,77.33083333333333
artigos_de_festas,43,39,4485.18,827.97,5313.15,104.30651162790697
portateis_cozinha_e_preparadores_de_alimentos,15,14,3968.53,309.76,4278.29,264.5686666666667
fashion_roupa_feminina,48,39,2803.64,621.75,3425.39,58.409166666666664
fashion_esporte,30,27,2119.51,578.13,2697.64,70.65033333333334
la_cuisine,14,13,2054.99,333.55,2388.54,146.785
artes_e_artesanato,24,23,1814.01,370.13,2184.14,75.58375
fraldas_higiene,39,27,1567.59,573.68,2141.27,40.19461538461538
pc_gamer,9,8,1545.95,133.57,1679.52,171.7722222222222
flores,33,29,1110.04,488.87,1598.91,33.63757575757576
casa_conforto_2,30,24,760.27,410.31,1170.58,25.342333333333332
cds_dvds_musicais,14,12,730.0,224.99,954.99,52.142857142857146
fashion_roupa_infanto_juvenil,8,8,569.85,95.51,665.36,71.23125
seguros_e_servicos,2,2,283.29,41.22,324.51,141.645
